1;1;10.21.10;3:23:42;0.00;0.95;263.85;0.24;40.50;0.08;19.51;0.04;0.001;0.00;5.942;1.54;36.7100;0.000;-120.9790;0.000;94.10;0.04;36.6668;0.000;-120.8518;0.000;80.70;0.03;19.4;112.9;43.0;84.8;1.0;-2.6;0.69;_103_084;0;0;1;10.21.10;3:23:42;257.63;0.43;38.71;0.28;16.33;0.04;249.65;0.74;61.27;0.25;38.35;0.08;288.86;0.12;21.93;0.10;207.4906;0.0001;0.9713;0.0007;0.351;0.007;2.85;0.65907;0.007;22.16;0.11;159.82;0.36;207.481;0.000;7.30;0.36;_103_084;0;2.86;0;1;207.4906;42.16;61.27
2;2;10.21.10;3:26:44;0.00;1.28;39.81;0.12;19.56;0.03;32.79;0.07;0.113;0.02;0.998;0.08;36.8101;0.000;-121.5401;0.000;101.30;0.04;36.7459;0.000;-121.9658;0.000;87.70;0.05;43.3;259.3;71.1;88.6;0.4;-3.4;0.93;_101_011;17;25;2;10.21.10;3:26:44;41.92;0.18;18.39;0.18;30.48;0.08;45.04;0.20;2.14;0.16;36.08;0.11;352.43;0.12;1.81;0.13;207.4927;0.0001;0.2584;0.0023;0.542;0.009;1.85;0.86010;0.002;3.14;0.24;306.95;0.40;207.497;0.003;154.44;0.40;_101_011;0;3.43;0;1;207.4927;197.55;2.14
3;3;10.21.10;4:51:24;0.00;0.13;3.91;1.15;31.27;1.61;18.46;0.91;0.000;0.04;0.140;0.09;37.4043;0.000;-120.8818;0.000;82.30;0.06;37.4056;0.000;-120.8902;0.000;80.10;0.07;62.4;281.7;19.5;81.6;1.3;-0.2;0.34;_044_012;0;0;3;10.21.10;4:51:24;4.88;1.59;30.62;6.50;14.59;1.18;17.46;4.17;25.99;5.58;35.45;1.08;320.13;1.49;10.39;2.46;207.5512;0.0001;0.7837;0.0147;0.592;0.085;1.69;0.53600;0.066;11.23;2.65;247.03;4.44;207.543;0.007;94.57;4.44;_044_012;0;4.02;0;1;207.5512;169.91;25.99
4;4;10.21.10;6:15:26;0.00;0.25;48.52;1.09;30.10;1.46;21.91;0.82;0.024;0.03;0.105;0.07;36.5131;0.001;-121.3424;0.000;91.40;0.07;36.5108;0.001;-121.3802;0.001;87.10;0.13;51.7;265.6;39.0;89.4;2.6;0.2;0.46;_101_084_081;0;0;4;10.21.10;6:15:26;50.94;1.77;29.33;3.88;18.61;1.02;56.05;2.31;10.38;3.50;27.11;0.65;335.64;2.14;7.10;2.54;207.6092;0.0001;0.3159;0.0213;1.181;0.040;0.85;0.62704;0.025;8.99;3.16;320.48;2.45;207.601;0.008;168.08;2.44;_101_084_081;0;6.77;0;1;207.6092;208.44;10.38
5;5;10.21.10;6:28:44;0.00;0.32;36.40;0.79;19.19;0.25;29.97;0.25;0.009;0.03;0.026;4.29;36.6018;0.000;-121.8427;0.001;94.50;0.18;36.6201;0.000;-121.8943;0.001;86.50;0.08;60.6;293.7;32.6;90.2;3.6;0.7;0.53;_061_081;17;25;5;10.21.10;6:28:44;36.74;0.80;18.54;1.03;27.64;0.27;40.41;0.78;3.79;1.02;36.32;0.34;346.62;0.48;2.89;0.78;207.6184;0.0001;0.3500;0.0103;0.522;0.028;1.91;0.81723;0.007;4.39;1.18;296.22;1.63;207.611;0.008;143.83;1.62;_061_081;0;3.41;0;1;207.6184;192.79;3.79
6;6;10.21.10;6:37:26;0.00;0.65;177.15;0.17;72.74;0.05;47.51;0.17;1.121;0.03;1.911;0.05;37.7323;0.000;-120.8304;0.001;99.30;0.07;37.4956;0.000;-120.8484;0.001;89.30;0.06;9.7;183.5;69.5;96.7;1.1;-1.9;0.27;_044_024_012;0;0;6;10.21.10;6:37:26;179.15;0.34;71.71;0.25;46.18;0.18;129.41;0.49;60.38;0.12;41.06;0.15;268.67;1.29;77.85;0.19;207.6244;0.0001;0.9846;0.0011;0.109;0.014;9.20;0.89302;0.013;79.33;0.17;167.61;0.62;207.614;0.000;15.22;0.62;_044_024_012;0;0.79;0;1;207.6244;281.79;60.38
7;7;10.21.10;6:37:31;0.00;0.65;95.19;0.23;15.62;0.04;66.81;0.14;0.043;0.04;0.742;0.13;36.4622;0.000;-120.8041;0.000;115.50;0.06;36.3894;0.000;-121.2621;0.001;107.00;0.11;27.9;258.7;78.8;111.3;0.9;-2.1;0.50;_102_084;8;8;7;10.21.10;6:37:31;95.73;0.24;15.33;0.24;65.51;0.15;95.58;0.23;-7.99;0.24;40.16;0.18;78.23;0.36;-13.11;0.38;207.6244;0.0001;0.5902;0.0053;0.191;0.016;5.24;0.88745;0.010;163.23;0.49;82.30;0.67;27.615;0.001;109.92;0.67;_102_084;0;0.11;0;1;207.6244;247.96;-7.99
8;8;10.21.10;6:42:47;0.00;0.70;94.16;0.10;20.48;0.26;67.20;0.45;0.095;0.06;3.784;3.41;37.9353;0.001;-122.3994;0.004;119.50;0.12;37.8359;0.001;-122.8863;0.003;107.40;0.13;19.3;255.4;75.1;111.0;-2.9;-5.6;0.70;_032_023_033;8;8;8;10.21.10;6:42:47;94.67;0.22;20.24;0.22;65.93;0.47;94.39;0.20;-3.13;0.23;40.60;0.47;76.77;0.34;-5.08;0.36;207.6281;0.0001;0.5531;0.0093;0.151;0.043;6.62;0.91645;0.023;173.29;0.50;85.96;1.73;27.620;0.007;113.58;1.73;_032_023_033;0;-0.11;0;1;207.6281;246.76;-3.13
9;9;10.21.10;6:52:47;0.00;0.65;93.15;0.10;16.59;0.19;67.42;0.45;0.001;0.00;10.581;0.57;37.7617;0.000;-121.3352;0.001;113.90;0.06;37.7072;0.001;-121.7906;0.001;101.70;0.11;27.4;261.3;73.8;106.1;0.9;-2.2;0.64;_021_031_032;8;8;9;10.21.10;6:52:47;93.60;0.20;16.34;0.27;66.14;0.44;93.49;0.19;-7.05;0.27;41.39;0.45;75.29;0.28;-11.31;0.41;207.6350;0.0001;0.5514;0.0076;0.078;0.042;12.78;0.95686;0.023;164.86;0.58;84.97;1.47;27.626;0.004;112.59;1.47;_021_031_032;0;-0.47;0;1;207.6350;245.86;-7.05
10;10;10.21.10;6:56:14;0.00;0.75;41.88;0.05;12.45;0.07;29.14;0.03;0.002;0.00;6.221;0.89;37.5922;0.000;-121.0374;0.000;99.30;0.05;37.6594;0.000;-121.1530;0.000;81.80;0.05;28.8;306.1;36.3;86.3;0.2;-2.9;0.74;_024_031;2;624;10;10.21.10;6:56:14;42.19;0.05;11.41;0.09;26.75;0.03;43.23;0.06;-4.61;0.09;34.73;0.03;346.64;0.05;-3.54;0.07;207.6374;0.0001;0.3258;0.0008;0.650;0.002;1.54;0.78830;0.001;5.40;0.10;121.75;0.12;27.625;0.001;149.37;0.12;_024_031;0;4.05;0;1;207.6374;195.59;-4.61
11;11;10.21.10;7:13:52;0.00;0.62;34.02;0.19;17.69;0.09;25.99;0.12;0.000;0.00;13.040;0.21;36.4803;0.000;-122.1599;0.000;94.50;0.04;36.5217;0.000;-122.2116;0.000;80.10;0.05;55.2;314.8;24.7;87.3;1.8;-1.3;0.50;_082_064;17;17;11;10.21.10;7:13:52;33.94;0.19;16.76;0.42;23.38;0.11;37.30;0.20;2.98;0.41;35.06;0.09;339.77;0.17;1.99;0.27;207.6495;0.0001;0.4377;0.0028;0.624;0.007;1.60;0.72695;0.003;2.68;0.37;289.33;0.41;207.642;0.006;136.98;0.40;_082_064;0;4.01;0;1;207.6495;189.65;2.98
